Inning,Over.Ball,Over,Ball,Bowler,Batter,Runs,Outcome,Is Four,Is Six,Is Wicket,Is Extra,Extra Type,Commentary
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),13.4,13,4,Syeda Aroob Shah,Suzie Bates,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),13.3,13,3,Syeda Aroob Shah,Maddy Green,3,3 runs,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),13.2,13,2,Syeda Aroob Shah,Maddy Green,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),13.1,13,1,Syeda Aroob Shah,Suzie Bates,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),12.6,12,6,Nonkululeko Mlaba,Suzie Bates,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),12.5,12,5,Nonkululeko Mlaba,Maddy Green,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),12.4,12,4,Nonkululeko Mlaba,Maddy Green,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),12.3,12,3,Nonkululeko Mlaba,Suzie Bates,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),12.2,12,2,Nonkululeko Mlaba,Maddy Green,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),12.1,12,1,Nonkululeko Mlaba,Maddy Green,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),11.6,11,6,Syeda Aroob Shah,Maddy Green,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),11.5,11,5,Syeda Aroob Shah,Suzie Bates,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),11.4,11,4,Syeda Aroob Shah,Suzie Bates,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),11.3,11,3,Syeda Aroob Shah,Suzie Bates,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),11.2,11,2,Syeda Aroob Shah,Suzie Bates,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),11.1,11,1,Syeda Aroob Shah,Maddy Green,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),10.6,10,6,Aaliyah Alleyne,Maddy Green,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),10.5,10,5,Aaliyah Alleyne,Maddy Green,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),10.4,10,4,Aaliyah Alleyne,Suzie Bates,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),10.3,10,3,Aaliyah Alleyne,Maddy Green,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),10.2,10,2,Aaliyah Alleyne,Maddy Green,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),10.1,10,1,Aaliyah Alleyne,Suzie Bates,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),9.6,9,6,Stafanie Taylor,Suzie Bates,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),9.5,9,5,Stafanie Taylor,Maddy Green,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),9.4,9,4,Stafanie Taylor,Suzie Bates,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),9.3,9,3,Stafanie Taylor,Suzie Bates,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),9.1,9,1,Stafanie Taylor,Hayley Matthews,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),8.6,8,6,Aaliyah Alleyne,Maddy Green,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),8.5,8,5,Aaliyah Alleyne,Maddy Green,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),8.4,8,4,Aaliyah Alleyne,Maddy Green,0,no run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),8.3,8,3,Aaliyah Alleyne,Hayley Matthews,1,1 run,No,No,No,No,,
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),8.2,8,2,Aaliyah Alleyne,Maddy Green,1,1 run,No,No,No,No,,
