Inning,Over.Ball,Over,Ball,Bowler,Batter,Runs,Outcome,Is Four,Is Six,Is Wicket,Is Extra,Extra Type,Commentary
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),19.6,19,6,Dwaine Pretorius,Akeal Hosein,2,2 runs,No,No,No,No,,"Akeal Hosein hangs in the crease to take bouncer of back of length aimed on the off stump,  executing a confident pull that sent the ball sailing towards long on for 2 runs."
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),19.6,19,6,Dwaine Pretorius,Akeal Hosein,0,1 wide,No,No,Yes,Yes,wide,"Wide Ball !! outswinger back of length,  on the off stump,  That is well outside the off-stump,  leaving Akeal Hosein no chance to play a shot. The umpire stretches arms to signal it a wide ball."
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),19.5,19,5,Dwaine Pretorius,Akeal Hosein,0,no run,No,No,No,No,,"Dwaine Pretorius lands it on a full length around off stump, and the batter cannot find a run."
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),19.4,19,4,Dwaine Pretorius,Akeal Hosein,0,no run,No,No,Yes,No,,"Dot ball !! outswinger,  full length,  on the off stump,  Akeal Hosein hangs in the crease and strives to hit cut,  aiming to fend it off,  but ball is too tricky to hit."
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),19.3,19,3,Dwaine Pretorius,Akeal Hosein,4,Four,Yes,No,No,No,,"Four !! inswinger,  good length,  on the stumps,  Akeal Hosein hangs in the crease,  plays flick shot in the air to deep mid wicket. Ball finds the ropes for four."
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),19.3,19,3,Dwaine Pretorius,Akeal Hosein,0,3 no ball,No,No,No,Yes,no_ball,"No ball !! fast ball,  good length,  on the stumps,  Akeal Hosein hangs in the crease,  displays his finesse with a beautifully timed push,  ball rolls towards mid off,  umpire signals a no ball,  as Dwaine Pretorius had overstepped."
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),19.2,19,2,Dwaine Pretorius,Lahiru Kumara,1,1 run,No,No,No,No,,"An accurately pitched fast ball on the stumps,  Lahiru Kumara hangs in the crease to make a confident push,  sending the ball towards mid off for 1 run."
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),18.6,18,6,Shamar Joseph,Akeal Hosein,0,no run,No,No,No,No,,Shamar Joseph lands it on a good length around off stump. The batter cannot find a way through and it ends as a dot.
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),18.5,18,5,Shamar Joseph,Akeal Hosein,4,Four,Yes,No,No,No,,Shamar Joseph lands this on a good length around off stump. Akeal Hosein connects cleanly and sends it away to the fence for four.
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),18.4,18,4,Shamar Joseph,Akeal Hosein,0,no run,No,No,No,No,,"Dot ball !! inswinger,  good length,  on the off stump,  Akeal Hosein hangs in the crease,  tucks cut toward the fielder at point,  who halts the ball."
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),18.3,18,3,Shamar Joseph,Akeal Hosein,0,no run,No,No,No,No,,"Dot ball !! fast ball,  good length,  on the stumps,  Akeal Hosein hangs in the crease,  tucks defensive shot toward the fielder at short cover,  who halts the ball."
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),18.1,18,1,Shamar Joseph,Kieron Pollard,0,1 leg bye,No,No,No,Yes,leg_bye,"Leg Bye !! inswinger,  good length,  on the stumps,  Kieron Pollard hangs in the crease,  aims to slam flick shot,  but deflect off the pads,  and batter steals a leg bye for 1 run."
Trinbago Knight Riders Inning TKR Inning 126/8 (20 ov),17.6,17,6,Romario Shepherd,Joshua Da Silva,0,no run,No,No,Yes,No,,"Dot ball !! outswinger,  good length,  on the off stump,  Joshua Da Silva hangs in the crease to the delivery,  tries to defend it with full face of the bat,  but the ball jags away at the last moment,  beating the bat."
